Contact Name,Invoice Number,Invoice Date,Total,Currency,Reference,Bank Account
Ashford Packaging Ltd,INV-1068,11/05/2026,1320.00,GBP,PO-4168,4471
Bellamy Freight,INV-1069,14/05/2026,1060.00,GBP,PO-4169,8820
Fenwick Electrical,INV-1076,17/05/2026,1099.00,GBP,PO-4176,3308
Fenwick Electrical,FE-3312-A,17/05/2026,2240.00,GBP,PO-5108,3308
Draycott Facilities,INV-1073,18/05/2026,1112.00,GBP,PO-4173,6634
Granthorpe Catering,INV-1079,18/05/2026,1112.00,GBP,PO-4179,9145
Elmsworth Stationery,INV-1074,19/05/2026,1125.00,GBP,PO-4174,7712
Halloway IT Services,INV-1080,19/05/2026,1125.00,GBP,PO-4180,5527
Ashford Packaging Ltd,INV-1066,20/05/2026,1138.00,GBP,PO-4166,4471
Corvid Print & Signage,INV-1072,21/05/2026,1151.00,GBP,PO-4172,2019
Bellamy Freight,INV-1070,23/05/2026,1151.00,GBP,PO-4170,8820
Fenwick Electrical,INV-1077,26/05/2026,1190.00,GBP,PO-4177,3308
Northgate Cleaning Services,NGC-2026-06,02/06/2026,1450.00,GBP,Contract NGC-118,5541
Draycott Facilities,INV-1087,05/06/2026,1340.00,GBP,PO-4187,6634
Granthorpe Catering,INV-1093,05/06/2026,1340.00,GBP,PO-4193,9145
Elmsworth Stationery,INV-1089,06/06/2026,1353.00,GBP,PO-4189,7712
Halloway IT Services,INV-1095,06/06/2026,1353.00,GBP,PO-4195,5527
Corvid Print & Signage,INV-1085,08/06/2026,1379.00,GBP,PO-4185,2019
Elmsworth Stationery,INV-1090,15/06/2026,1444.00,GBP,PO-4190,7712
Halloway IT Services,INV-1096,15/06/2026,1444.00,GBP,PO-4196,5527
Bellamy Freight,INV-1083,19/06/2026,1197.00,GBP,PO-4183,8820
Fenwick Electrical,INV-1091,22/06/2026,1236.00,GBP,PO-4191,3308
Draycott Facilities,INV-1086,23/06/2026,1249.00,GBP,PO-4186,6634
Granthorpe Catering,INV-1092,23/06/2026,1249.00,GBP,PO-4192,9145
Elmsworth Stationery,INV-1088,24/06/2026,1262.00,GBP,PO-4188,7712
Halloway IT Services,INV-1094,24/06/2026,1262.00,GBP,PO-4194,5527
Ashford Packaging Ltd,INV-1082,25/06/2026,1275.00,GBP,PO-4182,4471
Corvid Print & Signage,INV-1084,26/06/2026,1288.00,GBP,PO-4184,2019
Draycott Facilities,INV-1104,01/07/2026,1386.00,GBP,PO-4204,6634
Granthorpe Catering,INV-1110,01/07/2026,1386.00,GBP,PO-4210,9145
Elmsworth Stationery,INV-1107,02/07/2026,1399.00,GBP,PO-4207,7712
Halloway IT Services,INV-1113,02/07/2026,1399.00,GBP,PO-4213,5527
Northgate Cleaning Services,NGC-2026-07,02/07/2026,1450.00,GBP,Contract NGC-118,5541
Ashford Packaging Ltd,INV-1097,03/07/2026,1412.00,GBP,PO-4197,4471
Corvid Print & Signage,INV-1101,04/07/2026,1425.00,GBP,PO-4201,2019
Bellamy Freight,INV-1100,06/07/2026,1425.00,GBP,PO-4200,8820
Fenwick Electrical,INV-1109,09/07/2026,1464.00,GBP,PO-4209,3308
Draycott Facilities,INV-1105,10/07/2026,1477.00,GBP,PO-4205,6634
Granthorpe Catering,INV-1111,10/07/2026,1477.00,GBP,PO-4211,9145
Ashford Packaging Ltd,INV-1098,12/07/2026,1503.00,GBP,PO-4198,4471
Corvid Print & Signage,CPS-7741,12/07/2026,4150.00,GBP,PO-5620,2019
Corvid Print & Signage,INV-1102,13/07/2026,1516.00,GBP,PO-4202,2019
Corvid Print & Signage,CPS-7741B,15/07/2026,1450.00,GBP,PO-5620,2019
Draycott Facilities,INV-1106,19/07/2026,1568.00,GBP,PO-4206,6634
Granthorpe Catering,INV-1112,19/07/2026,1568.00,GBP,PO-4212,9145
Corvid Print & Signage,INV-1103,22/07/2026,1607.00,GBP,PO-4203,2019
Bellamy Freight,INV-1099,24/07/2026,1334.00,GBP,PO-4199,8820
Fenwick Electrical,INV-1108,27/07/2026,1373.00,GBP,PO-4208,3308
Bellamy Freight,INV-1117,02/08/2026,1471.00,GBP,PO-4217,8820
Northgate Cleaning Services,NGC-2026-08,02/08/2026,1450.00,GBP,Contract NGC-118,5541
Fenwick Electrical,INV-1124,05/08/2026,1510.00,GBP,PO-4224,3308
Draycott Facilities,INV-1121,06/08/2026,1523.00,GBP,PO-4221,6634
Granthorpe Catering,INV-1127,06/08/2026,1523.00,GBP,PO-4227,9145
Elmsworth Stationery,INV-1122,07/08/2026,1536.00,GBP,PO-4222,7712
Halloway IT Services,INV-1128,07/08/2026,1536.00,GBP,PO-4228,5527
Ashford Packaging Ltd,INV-1114,08/08/2026,1549.00,GBP,PO-4214,4471
Corvid Print & Signage,INV-1120,09/08/2026,1562.00,GBP,PO-4220,2019
Bellamy Freight,INV-1118,11/08/2026,1562.00,GBP,PO-4218,8820
Halloway IT Services,HIT-998,11/08/2026,2875.00,GBP,PO-778,6108
Fenwick Electrical,INV-1125,14/08/2026,1601.00,GBP,PO-4225,3308
Elmsworth Stationery,INV-1123,16/08/2026,1627.00,GBP,PO-4223,7712
Halloway IT Services,INV-1129,16/08/2026,1627.00,GBP,PO-4229,5527
Ashford Packaging Ltd,INV-1115,17/08/2026,1640.00,GBP,PO-4215,4471
Bellamy Freight,INV-1119,20/08/2026,1653.00,GBP,PO-4219,8820
Fenwick Electrical,INV-1126,23/08/2026,1692.00,GBP,PO-4226,3308
Ashford Packaging Ltd,INV-1116,26/08/2026,1731.00,GBP,PO-4216,4471
Northgate Cleaning Services,NGC-2026-09,02/09/2026,1450.00,GBP,Contract NGC-118,5541
Elmsworth Stationery,INV-1138,03/09/2026,1855.00,GBP,PO-4238,7712
Halloway IT Services,INV-1144,03/09/2026,1855.00,GBP,PO-4244,5527
Bellamy Freight,INV-1131,07/09/2026,1608.00,GBP,PO-4231,8820
Fenwick Electrical,INV-1139,10/09/2026,1647.00,GBP,PO-4239,3308
Draycott Facilities,INV-1134,11/09/2026,1660.00,GBP,PO-4234,6634
Granthorpe Catering,INV-1140,11/09/2026,1660.00,GBP,PO-4240,9145
Halloway IT Services,HIT-999,11/09/2026,2875.00,GBP,PO-779,6108
Elmsworth Stationery,INV-1136,12/09/2026,1673.00,GBP,PO-4236,7712
Halloway IT Services,INV-1142,12/09/2026,1673.00,GBP,PO-4242,5527
Ashford Packaging Ltd,INV-1130,13/09/2026,1686.00,GBP,PO-4230,4471
Corvid Print & Signage,INV-1132,14/09/2026,1699.00,GBP,PO-4232,2019
Draycott Facilities,INV-1135,20/09/2026,1751.00,GBP,PO-4235,6634
Granthorpe Catering,INV-1141,20/09/2026,1751.00,GBP,PO-4241,9145
Elmsworth Stationery,INV-1137,21/09/2026,1764.00,GBP,PO-4237,7712
Halloway IT Services,INV-1143,21/09/2026,1764.00,GBP,PO-4243,5527
Corvid Print & Signage,INV-1133,23/09/2026,1790.00,GBP,PO-4233,2019
Draycott Facilities,DF-5000,23/09/2026,5000.00,GBP,PO-6001,6634
Corvid Print & Signage,INV-1150,01/10/2026,1927.00,GBP,PO-4250,2019
Northgate Cleaning Services,NGC-2026-10,02/10/2026,1450.00,GBP,Contract NGC-118,5541
Elmsworth Stationery,ES-4410,06/10/2026,612.40,GBP,PO-6620,7712
Draycott Facilities,INV-1154,07/10/2026,1979.00,GBP,PO-4254,6634
Granthorpe Catering,INV-1160,07/10/2026,1979.00,GBP,PO-4260,9145
Elmsworth Stationary,ES-4410,08/10/2026,612.40,GBP,PO-6620,7712
Corvid Print & Signage,INV-1151,10/10/2026,2018.00,GBP,PO-4251,2019
Halloway IT Services,HIT-9910,11/10/2026,2875.00,GBP,PO-7710,6108
Bellamy Freight,INV-1147,12/10/2026,1745.00,GBP,PO-4247,8820
Fenwick Electrical,INV-1156,15/10/2026,1784.00,GBP,PO-4256,3308
Draycott Facilities,INV-1152,16/10/2026,1797.00,GBP,PO-4252,6634
Granthorpe Catering,INV-1158,16/10/2026,1797.00,GBP,PO-4258,9145
Elmsworth Stationery,INV-1155,17/10/2026,1810.00,GBP,PO-4255,7712
Halloway IT Services,INV-1161,17/10/2026,1810.00,GBP,PO-4261,5527
Ashford Packaging Ltd,INV-1145,18/10/2026,1823.00,GBP,PO-4245,4471
Corvid Print & Signage,INV-1149,19/10/2026,1836.00,GBP,PO-4249,2019
Bellamy Freight,INV-1148,21/10/2026,1836.00,GBP,PO-4248,8820
Fenwick Electrical,INV-1157,24/10/2026,1875.00,GBP,PO-4257,3308
Draycott Facilities,INV-1153,25/10/2026,1888.00,GBP,PO-4253,6634
Granthorpe Catering,INV-1159,25/10/2026,1888.00,GBP,PO-4259,9145
Ashford Packaging Ltd,INV-1146,27/10/2026,1914.00,GBP,PO-4246,4471
Fenwick Electrical,INV-1173,02/11/2026,2012.00,GBP,PO-4273,3308
Northgate Cleaning Services,NGC-2026-11,02/11/2026,1450.00,GBP,Contract NGC-118,5541
Elmsworth Stationery,INV-1171,04/11/2026,2038.00,GBP,PO-4271,7712
Halloway IT Services,INV-1177,04/11/2026,2038.00,GBP,PO-4277,5527
Ashford Packaging Ltd,INV-1163,05/11/2026,2051.00,GBP,PO-4263,4471
Bellamy Freight,INV-1167,08/11/2026,2064.00,GBP,PO-4267,8820
Fenwick Electrical,INV-1174,11/11/2026,2103.00,GBP,PO-4274,3308
Halloway IT Services,HIT-9911,11/11/2026,2875.00,GBP,PO-7711,6108
Ashford Packaging Ltd,INV-1164,14/11/2026,2142.00,GBP,PO-4264,4471
Bellamy Freight,INV-1165,17/11/2026,1882.00,GBP,PO-4265,8820
Fenwick Electrical,INV-1172,20/11/2026,1921.00,GBP,PO-4272,3308
Draycott Facilities,INV-1169,21/11/2026,1934.00,GBP,PO-4269,6634
Granthorpe Catering,INV-1175,21/11/2026,1934.00,GBP,PO-4275,9145
Elmsworth Stationery,INV-1170,22/11/2026,1947.00,GBP,PO-4270,7712
Halloway IT Services,INV-1176,22/11/2026,1947.00,GBP,PO-4276,5527
Ashford Packaging Ltd,INV-1162,23/11/2026,1960.00,GBP,PO-4262,4471
Corvid Print & Signage,INV-1168,24/11/2026,1973.00,GBP,PO-4268,2019
Bellamy Freight,INV-1166,26/11/2026,1973.00,GBP,PO-4266,8820
Ashford Packaging Ltd,INV-1178,01/12/2026,2097.00,GBP,PO-4278,4471
Corvid Print & Signage,INV-1180,02/12/2026,2110.00,GBP,PO-4280,2019
Northgate Cleaning Services,NGC-2026-12,02/12/2026,1450.00,GBP,Contract NGC-118,5541
Draycott Facilities,INV-1183,08/12/2026,2162.00,GBP,PO-4283,6634
Granthorpe Catering,INV-1189,08/12/2026,2162.00,GBP,PO-4289,9145
Elmsworth Stationery,INV-1185,09/12/2026,2175.00,GBP,PO-4285,7712
Halloway IT Services,INV-1191,09/12/2026,2175.00,GBP,PO-4291,5527
Corvid Print & Signage,INV-1181,11/12/2026,2201.00,GBP,PO-4281,2019
Halloway IT Services,HIT-9912,11/12/2026,2875.00,GBP,PO-7712,6108
Elmsworth Stationery,INV-1186,18/12/2026,2266.00,GBP,PO-4286,7712
Halloway IT Services,INV-1192,18/12/2026,2266.00,GBP,PO-4292,5527
Bellamy Freight,INV-1179,22/12/2026,2019.00,GBP,PO-4279,8820
Fenwick Electrical,INV-1187,25/12/2026,2058.00,GBP,PO-4287,3308
Draycott Facilities,INV-1182,26/12/2026,2071.00,GBP,PO-4282,6634
Granthorpe Catering,INV-1188,26/12/2026,2071.00,GBP,PO-4288,9145
Elmsworth Stationery,INV-1184,27/12/2026,2084.00,GBP,PO-4284,7712
Halloway IT Services,INV-1190,27/12/2026,2084.00,GBP,PO-4290,5527
